ef,recall,qps,mean_distance_computations,mean_visited,mean_hops,mean_latency_ms,k,n,dim,M,ef_construction,selection,hierarchical,metric,dataset,build_seconds,index
16,0.8989,4664.161700898606,196.598,196.598,24.233,0.21440079999956652,10,20000,10,16,200,simple,True,cosine,clustered-100c-10d,19.689489700000195,loam-hnsw
32,0.911,3334.4770589625546,233.335,233.335,40.413,0.2998971000001802,10,20000,10,16,200,simple,True,cosine,clustered-100c-10d,19.689489700000195,loam-hnsw
64,0.9303,2105.1878143299373,266.937,266.937,73.296,0.4750170000002072,10,20000,10,16,200,simple,True,cosine,clustered-100c-10d,19.689489700000195,loam-hnsw
128,0.9545,1544.3483568061893,294.295,294.295,139.832,0.6475222999997641,10,20000,10,16,200,simple,True,cosine,clustered-100c-10d,19.689489700000195,loam-hnsw
16,1.0,3735.393676874191,208.823,208.823,23.962,0.26770940000005794,10,20000,10,16,200,heuristic,True,cosine,clustered-100c-10d,41.503431399999954,loam-hnsw
32,1.0,2609.2506284354254,251.324,251.324,39.721,0.38325180000038017,10,20000,10,16,200,heuristic,True,cosine,clustered-100c-10d,41.503431399999954,loam-hnsw
64,1.0,1642.5669247461383,296.061,296.061,71.606,0.6088032000002386,10,20000,10,16,200,heuristic,True,cosine,clustered-100c-10d,41.503431399999954,loam-hnsw
128,1.0,1012.259576962404,354.626,354.626,135.577,0.9878889000001436,10,20000,10,16,200,heuristic,True,cosine,clustered-100c-10d,41.503431399999954,loam-hnsw
