ef,recall,qps,mean_distance_computations,mean_visited,mean_hops,mean_latency_ms,k,n,dim,M,ef_construction,selection,hierarchical,metric,dataset,build_seconds,index
16,0.936,3315.1200637053503,397.236,397.236,23.488,0.30164819999981773,10,10000,25,16,200,heuristic,True,cosine,glove-25-angular,44.58142360000011,loam-hnsw
32,0.9814,1724.9218782881276,618.351,618.351,38.855,0.5797364000000016,10,10000,25,16,200,heuristic,True,cosine,glove-25-angular,44.58142360000011,loam-hnsw
64,0.997,993.0404744429098,1001.554,1001.554,70.488,1.0070083000000523,10,10000,25,16,200,heuristic,True,cosine,glove-25-angular,44.58142360000011,loam-hnsw
128,0.9997,622.4115847228142,1623.349,1623.349,134.265,1.6066538999998556,10,10000,25,16,200,heuristic,True,cosine,glove-25-angular,44.58142360000011,loam-hnsw
256,1.0,285.1042359618509,2595.143,2595.143,262.165,3.5074890999999297,10,10000,25,16,200,heuristic,True,cosine,glove-25-angular,44.58142360000011,loam-hnsw
0,1.0,6348.682330977846,10000.0,10000.0,0.0,0.15751300000010815,10,10000,25,0,0,n/a,False,cosine,glove-25-angular,0.0,flat-exact
